timestamp_ms,open,high,low,close,volume
1700000000000,100.0000,101.5443,99.7000,101.2406,1000
1700003600000,101.2406,102.8052,100.9369,102.4977,1001
1700007200000,102.4977,104.0586,102.1902,103.7474,1002
1700010800000,103.7474,105.2803,103.4361,104.9654,1003
1700014400000,104.9654,106.4465,104.6505,106.1281,1004
1700018000000,106.1281,107.5347,105.8097,107.2130,1005
1700021600000,107.2130,108.5239,106.8914,108.1993,1006
1700025200000,108.1993,109.3957,107.8747,109.0685,1007
1700028800000,109.0685,110.1347,108.7413,109.8053,1008
1700032400000,109.8053,110.7290,109.4759,110.3978,1009
1700036000000,110.3978,111.1705,110.0666,110.8380,1010
1700039600000,110.8380,111.4556,110.5055,111.1222,1011
1700043200000,111.1222,111.5849,110.7888,111.2512,1012
1700046800000,111.2512,111.5849,110.8963,111.2300,1013
1700050400000,111.2300,111.5637,110.7346,111.0678,1014
1700054000000,111.0678,111.4010,110.4456,110.7779,1015
1700057600000,110.7779,111.1102,110.0456,110.3768,1016
1700061200000,110.3768,110.7079,109.5542,109.8838,1017
1700064800000,109.8838,110.2135,108.9928,109.3207,1018
1700068400000,109.3207,109.6487,108.3847,108.7108,1019
1700072000000,108.7108,109.0369,107.7539,108.0782,1020
1700075600000,108.0782,108.4024,107.1250,107.4474,1021
1700079200000,107.4474,107.7697,106.5220,106.8425,1022
1700082800000,106.8425,107.1630,105.9681,106.2870,1023
1700086400000,106.2870,106.6059,105.4856,105.8030,1024
1700090000000,105.8030,106.1204,105.0947,105.4109,1025
1700093600000,105.4109,105.7272,104.8141,105.1295,1026
1700097200000,105.1295,105.4449,104.6601,104.9751,1027
1700100800000,104.9751,105.2900,104.6469,104.9618,1028
1700104400000,104.9618,105.4168,104.6469,105.1015,1029
1700108000000,105.1015,105.7195,104.7862,105.4033,1030
1700111600000,105.4033,106.1914,105.0871,105.8738,1031
1700115200000,105.8738,106.8363,105.5562,106.5167,1032
1700118800000,106.5167,107.6552,106.1972,107.3332,1033
1700122400000,107.3332,108.6464,107.0112,108.3214,1034
1700126000000,108.3214,109.8049,107.9965,109.4764,1035
1700129600000,109.4764,111.1227,109.1480,110.7903,1036
1700133200000,110.7903,112.5887,110.4580,112.2520,1037
1700136800000,112.2520,114.1885,111.9152,113.8469,1038
1700140400000,113.8469,115.9042,113.5054,115.5576,1039
